,1d,5d,1mo,3mo,6mo,ytd,1y,2y
ABBV,0.00%,-1.47%,2.98%,-6.79%,9.68%,5.90%,24.96%,28.77%
ADP,0.00%,-0.74%,-0.67%,0.79%,3.48%,6.05%,13.52%,24.78%
AMZN,0.00%,1.02%,0.17%,5.85%,25.56%,24.65%,47.55%,80.27%
ASML,0.00%,1.54%,16.53%,10.56%,45.92%,49.66%,46.23%,120.73%
BAC,0.00%,-0.13%,3.77%,9.89%,24.62%,17.78%,38.04%,30.19%
C,0.00%,-3.12%,-5.35%,4.80%,23.85%,15.21%,28.61%,42.94%
CEG,0.00%,7.67%,2.28%,30.15%,88.00%,89.93%,133.41%,300.68%
COST,0.00%,0.61%,9.37%,15.66%,35.48%,30.70%,67.24%,94.46%
D,0.00%,-2.81%,-3.01%,7.02%,5.44%,7.53%,2.41%,-26.49%
DDOG,0.00%,8.66%,0.72%,-3.62%,1.60%,3.50%,21.85%,38.27%
DIS,0.00%,-0.41%,-4.75%,-10.40%,8.59%,11.12%,7.76%,5.66%
DOC,0.00%,-0.67%,-0.87%,14.32%,4.49%,0.11%,-0.50%,-9.59%
DUK,0.00%,-1.50%,-0.54%,7.16%,5.52%,5.81%,16.66%,6.53%
FANG,0.00%,1.37%,-2.59%,4.27%,33.06%,26.67%,57.10%,47.34%
FI,0.00%,-1.69%,-3.39%,-2.01%,9.47%,11.23%,24.64%,65.16%
GOOG,0.00%,0.79%,5.19%,27.70%,34.18%,28.81%,44.47%,68.20%
HD,0.00%,3.94%,1.63%,-8.56%,1.52%,1.02%,17.70%,28.13%
INTU,0.00%,3.42%,-5.58%,-9.47%,-2.67%,-1.63%,33.17%,64.95%
JNJ,0.00%,-0.69%,-3.06%,-9.01%,-5.19%,-7.67%,-6.71%,-9.73%
MSFT,0.00%,3.90%,6.80%,6.45%,18.24%,19.36%,32.97%,85.26%
NET,0.00%,5.85%,2.51%,-21.36%,-6.17%,-4.95%,9.11%,81.34%
NVDA,0.00%,3.48%,38.51%,37.76%,160.39%,159.96%,205.29%,701.05%
OKTA,0.00%,1.82%,-9.26%,-18.58%,13.54%,2.63%,17.38%,9.34%
PANW,0.00%,8.06%,5.80%,10.23%,1.89%,10.68%,36.88%,100.82%
PFLT,0.00%,0.09%,0.38%,3.51%,1.77%,-1.54%,17.22%,28.23%
RDDT,0.00%,3.89%,13.30%,43.33%,,43.33%,,
RXT,0.00%,7.69%,17.24%,33.33%,40.00%,25.93%,16.67%,-63.16%
ROK,0.00%,2.70%,-2.51%,-7.39%,-9.08%,-13.65%,-15.40%,34.74%
SCHD,0.00%,-0.82%,-2.66%,-1.54%,4.80%,1.76%,10.62%,14.71%
SCHW,0.00%,-0.93%,-1.53%,9.94%,11.76%,7.23%,36.48%,25.83%
SMR,0.00%,10.17%,32.45%,19.35%,164.89%,169.11%,0.12%,-12.98%
TSM,0.00%,6.73%,18.15%,22.19%,70.88%,71.07%,64.93%,110.42%
UNH,0.00%,-1.76%,-3.65%,1.04%,-9.84%,-8.22%,1.91%,8.03%
UNP,0.00%,-0.81%,-7.29%,-8.62%,-3.28%,-5.95%,16.41%,14.14%
V,0.00%,-2.43%,-3.07%,-5.02%,3.41%,4.81%,21.94%,42.82%
VFFVX,,,1.38%,2.60%,10.77%,9.19%,16.87%,33.50%
VOO,0.00%,1.26%,3.94%,5.26%,15.91%,15.03%,25.89%,49.23%
TSLA,0.00%,-0.37%,3.14%,4.61%,-25.91%,-28.63%,-31.47%,-17.82%
